序号,类型,题干,A,B,C,D,答案
38,多选题,全国大学生数学建模竞赛的主办方是（ ）。,国家教委高教司 ,各高等学校 ,中国工业与应用数学学会 ,各省教育厅 , AC
39,多选题,以下哪些是嵌入式技术的内容（ ）。,物联网应用系统集成方法 ,嵌入式软件编程 ,可穿戴计算设备设计与实现 ,智能硬件设计与实现 , BCD
40,多选题,下列选项中，哪些属于国内外对物联网相关标准的研究范畴？（ ）,物联网总体架构 ,关键技术 ,行业应用 ,重点企业 , ABC
41,多选题,关于物联网以下表述正确的是（ ）。,物联网是可以把各种物品与计算机网络互联起来以实现智能化识别、定位、跟踪、监控和管理的一种网络 ,2010年物联网上升为中国的国家战略 ,物联网具有全面感知、广泛互联、智能处理、自动控制等特征 ,物联网体系结构中一般包括感知层、传输层、应用层和安全层 , ABC
42,多选题,对无线多跳自组网路由表述正确的是（ ）。,源节点到目的节点的路由路径往往并不唯一。 ,自组网路由的路由指标可以是ETx，也可以是其他指标，依应用而定。 ,源节点到目的节点的路由路径是由源节点确定的。 ,之所以需要多跳路由，本质原因是节点的通信半径有限。 , ABD
43,多选题,下列哪些系统是物联网系统？（ ）,淘宝网站 ,智能大棚管理系统 ,空调 ,食品追溯系统 , BD
44,多选题,以下哪些是无线传感网环境监测的典型系统（ ）。,大鸭岛监测 ,GreenOrbs绿野千传 ,PermaSense,火山监测 , ABCD
45,多选题,计算卸载需要考虑的因素有( )。,用户对时延的容忍度 ,上下行链路质量 ,边缘设备性能 ,云服务的可用性 , ABCD
46,多选题,有关物联网与互联网的区别和联系，以下表述正确的是（ ）。,二者都是信息载体 ,物联网是互联网的进一步发展 ,物联网在互联网的基础上，拓展了网络连接对象的范围和类型。 ,物联网是对互联网的全面颠覆。 , ABC
47,多选题,关于传感网的节能机制Duty Cycle，说法正确的是（ ）。,Duty Cycle只能用于节省节点无线收发的能耗 ,Duty Cycle的使用，可以完全避免空闲侦听（Idle Listening） ,在不需要对信道采样或发包的时候，节点都保持休眠状态 ,在其他条件都相同的前提下，需要发送的数据越多，对应的Duty Cycle也就越高。 , CD
48,多选题,固定翼无人机的主要起飞方式是（ ）。,滑行起飞 ,弹射起飞 ,垂直起降 ,滑翔起飞 , AB
49,多选题,关于物联网与隐私的的表述，以下正确的是（ ）。,物联网有非常强大的信息获取能力 ,智能家居采集的数据可能被不当地发布或利用 ,智能电表采集信息有限，不存在隐私泄露风险 ,位置信息可以被用来分析用户的生活消费习惯 , ABD
50,多选题,"物联网跟人的神经网络相似,通过各种信息传感设备,把物品与互联网连接起来,进行信息交换和通讯,下面哪些是物联网的信息传感设备（ ）",射频识别(RFID)芯片 ,红外感应器 ,全球定位系统 ,激光扫描器 , ABCD
